Input,Pred,Pred_Latin,Gold
"=- ဦးနှောက်က သွေးကြောတွေကို ကျယ်စေတယ် - ချွေးဂလင်းတွေက တက်ကြွလာတယ် - အစိုဓာတ်က ချွေးပေါက်တွေကနေ ထွက်လာတယ် - အစိုဓာတ်က အငွေ့ပျံတယ် - ရေငွေ့ပျံတာက အေးမြမှုကို ဖြစ်စေတယ်။ လုပ်ငန်းစဉ်၏ ပထမအဆင့်မှာ အဘယ်နည်း။
",terjemah ke melayu baku,terjemah ke melayu baku,လုပ်ငန်းစဉ်၏ ပထမအဆင့်မှာ အဘယ်နည်းလဲဆိုတာကို သိရွိလိုက်ပါတယ်။ အစိုဓာတ်က ချွေးပေါက်တွေကနေ ထွက်လာတယ်ဆိုပြီး အငွေ့ပျံတယ်ဆိုပြီး ရေငွေ့ပျံတာက အေးမြမှုကို ဖြစ်စေတယ်။ အကယ်၍ ဦးနှောက်က သွေးကြောတွေကို ကျယ်စေတယ်ဆိုပြီး ချွေးဂလင်းတွေက တက်ကြွလာတယ်ဆိုပြီး အစိုဓာတ်က ချွေးပေါက်တွေကနေ ထွက်လာတယ်ဆိုပြီး အစိုဓာတ်က အငွေ့ပျံတယ်ဆိုပြီး ရေငွေ့ပျံတာက အေးမြမှုကို ဖြစ်စေတယ်ဆိုပြီး လုပ်ငန်းစဉ်မှာ အဘယ်နည်းလဲဆိုတာကို သိရွိလိုက်ပါတယ်။
နောဧသည် ပန်းချီဆရာတစ်ဦးဖြစ်သည်။ ပုံတွေဆွဲပြီး ပန်းခြံမှာရောင်းတယ်။ ပန်းချီကားကြီးတစ်ချပ်အတွက် ဒေါ်လာ ၆၀ နှင့် ပန်းချီအသေးတစ်ချပ်အတွက် ဒေါ်လာ ၃၀ ကောက်ခံသည်။ ပြီးခဲ့သည့်လက သူသည် ပန်းချီကားကြီး ရှစ်ချပ်နှင့် ပန်းချီကားလေးချပ်ကို ရောင်းချခဲ့သည်။ ဒီလမှာ နှစ်ဆလောက်ရောင်းရင် ဒီလဘယ်လောက်ရောင်းရလဲ။ သေချာစဉ်းစားပြီးမှ ဆုံးဖြတ်ချက်ချပါ။,စနား ဂဏးာအယ်တဈ်းကဵက္ကစဗိ-ဒေးှုဓ-ပေါယိရ-ဒား - ကာ္ပည့်-ပ,cna gna'ytjhkekkcbi-dehudh-peayir-da - kapnn-p,"နောဧသည် ပန်းချီဆရာတစ်ဦးဖြစ်သည်။ ပုံတွေဆွဲပြီး ပန်းခြံမှာရောင်းတယ်။ ပန်းချီကားကြီးတစ်ချပ်အတွက် ဒေါ်လာ ၆၀ နှင့် ပန်းချီအသေးတစ်ချပ်အတွက် ဒေါ်လာ ၃၀ ကောက်ခံသည်။ ပြီးခဲ့သည့်လက သူသည် ပန်းချီကားကြီး ရှစ်ချပ်နှင့် ပန်းချီကားလေးချပ်ကို ရောင်းချခဲ့သည်။ ဒီလမှာ နှစ်ဆလောက်ရောင်းရင် ဒီလဘယ်လောက်ရောင်းရလဲ။ သေချာစဉ်းစားပြီးမှ ဆုံးဖြတ်ချက်ချပါ။

သေချာစဉ်းစားပြီးမှုတွေကို ရှာဖွေရန် နှစ်ဆလောက်ရောင်းရန်လိုအပ်သည်။ ဥပမာအတွင်း နှစ်ဆလောက်ရောင်းရန်အတွက် သူက နှစ်ဆလောက်ရောင်းရန်လိုအပ်သည်။ ထို့ကြောင့် နှစ်ဆလောက်ရောင်းရန်အတွက် သူက နှစ်ဆလောက်ရောင်းရ"
"ဤအရာ၏ ပိုတိုသောဗားရှင်းကား အဘယ်နည်း။

ယဉ်ကျေးမှု၊ ပညာရေးနှင့် အားကစားဖလှယ်ရေး နယ်ပယ်များတွင် တရုတ်နှင့် တူရကီနိုင်ငံတို့ ပူးပေါင်းဆောင်ရွက်မှုကို ပိုမိုမြှင့်တင်ဆောင်ရွက်သွားမည်ဖြစ်ကြောင်း နိုင်ငံတော်၏အတိုင်ပင်ခံပုဂ္ဂိုလ် ချန်ဇီလီက တနင်္လာနေ့တွင် ပြောကြားခဲ့ပါသည်။",`,`,ဤအရာသည် ပိုတိုသောဗားရှင်းကားများကို ယဉ်ကျေးမှု၊ ပညာရေးနှင့် အားကစားဖလှယ်ရေး နယ်ပယ်များတွင် တရုတ်နှင့် တူရကီနိုင်ငံတို့ ပူးပေါင်းဆောင်ရွက်မှုကို ပိုမိုမြှင့်တင်ဆောင်ရွက်သွားမည်ဖြစ်ကြောင်း နိုင်ငံတော်၏အတိုင်ပင်ခံပုဂ္ဂိုလ် ချန်ဇီလီက တနင်္လာနေ့တွင် ပြောကြားခဲ့ပါသည်။
"ဤဆောင်းပါးအတွက် ခေါင်းစဉ်တစ်ခုရေးပါ-

ကော်လိုရာဒိုပြည်နယ်အုပ်ချုပ်ရေးမှူး John Hickenlooper (Julia Moss၊ AP / The Colorado Springs Gazette)

ကော်လိုရာဒိုပြည်နယ်အုပ်ချုပ်ရေးမှူး John Hickenlooper သည် သေနတ်ထိန်းချုပ်မှုပြဿနာနှင့်ပတ်သက်၍ ၎င်း၏အပြင်းထန်ဆုံးပြိုင်ဘက်အချို့အား အဆင်မပြေသည့် တောင်းပန်စကားနှင့် ရောင်စုံဘာသာစကားအချို့ကို ကမ်းလှမ်းခဲ့သည်- Colorado ၏ ရဲအရာရှိများ။

ကော်လိုရာဒိုတစ်ဝိုက်မှ ရဲအရာရှိများစုဝေးသည့်အဖွဲ့ရှေ့တွင် အုပ်ချုပ်ရေးမှူး၏ mea culpa သည် သောကြာနေ့တွင် ရောက်လာသည်။

သေနတ်ထိန်းချုပ်ရေးဥပဒေမပြဌာန်းမီ ၎င်းတို့နှင့်မတွေ့ဆုံသည့်အတွက် အုပ်ချုပ်ရေးမှူးအား တောင်းပန်ခဲ့သည်။ Hickenlooper က သူ့အုပ်ချုပ်ရေးပိုင်းသည် သေနတ်ထိန်းချုပ်မှုအား တွန်းလှန်ရန် မျှော်မှန်းထားသော အလုပ်ကောင်းကောင်းမလုပ်နိုင်ဘဲ အနာဂတ်တွင် ပိုမိုကောင်းမွန်သော ဆက်သွယ်ရေးကို ပေးမည်ဟု ကတိပြုပါသည်။

Larimer ကောင်တီရဲအရာရှိ Justin Smith ၏ပြဿနာအပေါ် Hickenlooper က ဒေါသထွက်ကာ တုံ့ပြန်ခဲ့သည်။

\u201cf\u2014?\u201d Hickenlooper က ဘာပြောလဲ။ \u201c ငါတောင်းပန်ပါတယ်!\u201d

သူ၏ Facebook စာမျက်နှာတွင် Smith က ထိုအခြေအနေတွင် ထိုကဲ့သို့သော ဘာသာစကားကြောင့် သူ အံ့အားသင့်ခဲ့ရကြောင်း ပြောကြားခဲ့သည်။

ငါက ယောက်ျားကြီးဖြစ်ပြီး ငါ့အတွက် နိုင်ငံခြားဘာသာစကားမဟုတ်လို့ ခဏလောက် ဟန်ဆောင်နေမှာ မဟုတ်ဘူး၊ ဒါပေမယ့် အုပ်ချုပ်ရေးမှူးရုံးရဲ့ ဂုဏ်သိက္ခာနဲ့ တုံ့ပြန်မှုပုံစံက အဲဒီ သဘောထားနဲ့ တုံ့ပြန်မှုပုံစံကို ငါတွေ့ခဲ့တယ် ,\u201d Smith က ရေးသားခဲ့သည်။ \u201c၎င်းသည် အခြားရွေးချယ်ခံအရာရှိကို တုံ့ပြန်သည့် လူထုအစည်းအဝေးတစ်ခုတွင် ထိုင်အုပ်ချုပ်ရေးမှူးတစ်ဦးဖြစ်သည်။\u201d

Hickenlooper ၏ ပြောရေးဆိုခွင့်ရှိသူ အဲရစ် ဘရောင်းက အုပ်ချုပ်ရေးမှူးသည် ကဲ့ရဲ့ရှုတ်ချခြင်းကို အလကားဖြစ်စေရန် ရည်ရွယ်သည်ဟု ပြောကြားခဲ့သည်။

\u201cသူသည် Sheriff Smith သို့မဟုတ် အခန်းတွင်းရှိ အခြားမည်သူ့ကိုမျှ အလေးမထားခြင်းကို မဆိုလိုပါ၊\u201d Brown က ပြောသည်။

ကော်လိုရာဒို ရဲအရာရှိအချို့သည် မနှစ်က လက်မှတ်ရေးထိုးခဲ့သော သေနတ်ထိန်းချုပ်ရေးဥပဒေများကို ဖျက်သိမ်းရန် Hickenlooper က ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ချိုးဖောက်သည်ဟု ဆိုကာ တရားစွဲဆိုထားသည်။",ကော်လိုရာဒို ရဲအရာရှိအချို့သည် မနှစ်က လက်မှတ်ရေးထို,kealiuradiu rai'rarhi'khyiusnn mnhck lkmhtrethiu,the question is too long
ရုပ်ပိုင်းဆိုင်ရာ ကျိုးကြောင်းဆင်ခြင်နိုင်စွမ်းရှိသူ၏ စွမ်းရည်ကို စမ်းသပ်မည့် မည်သည့်အလုပ်မျိုးလဲ။,terjemah ke melayu baku,terjemah ke melayu baku,ရုပ်ပိုင်းဆိုင်ရာ ကျိုးကြောင်းဆင်ခြင်နိုင်စွမ်းရှိသူတစ်ယောက်ပါသည်။ ထို့ကြောင့် စွမ်းရည်ကို စမ်းသပ်မည့်အလုပ်မျိုးလဲဖြစ်ပါသည်။ ဥပမာအားဖြင့် အလုပ်လုပ်နိုင်သော စွမ်းရည်ကို စမ်းသပ်မည့်အလုပ်မျိုးကို အကြံပြုခြင်းဖြင့် သတ်မှတ်ထားပါသည်။
"စာကြောင်း 1- ပုဒ်မ 165 နှင့် 169 တွင်၊ အက်ဥပဒေသည် အမျိုးသားဥယျာဉ်များနှင့် တောရိုင်းဧရိယာ 156 ခုတွင် မြင်သာမြင်သာမှုကို ကာကွယ်ပေးခြင်းဆိုင်ရာ အထူးတန်ဖိုးသတ်မှတ်ထားသည် (ဥပမာ။

စာကြောင်း 2- ဤပန်းခြံအများအပြားသည် ငှက်ဘေးမဲ့တောများဖြစ်သည်။
ဤဒုတိယဝါကျကို ပထမဝါကျတွင် ထည့်သွင်းထားပါသလား။",ဆတ်ယာမခဲာနဉိဂံ ဦးာနတကာ ချဉိက - ကျဉလာဆွူးယာကျန္ကြ ဓာုး,chtyamkhaiannigm uantka khynik - kynlachvuyakynkr dhau,"ကျေးဇူးတင်ပါတယ်။ စာကြောင်း 1 တွင်ပုဒ်မ 165 နှင့် 169 တွင်အက်ဥပဒေသည် အမျိုးသားဥယျာဉ်များနှင့် တောရိုင်းဧရိယာ 156 ခုတွင် မြင်သာမြင်သာမှုကို ကာကွယ်ပေးခြင်းဆိုင်ရာ အထူးတန်ဖိုးသတ်မှတ်ထားသည်။ ဥပမာအတွက်ကျေးဇူးတင်ပါတယ်။

စာကြောင်း 2 တွင်ဤပန်းခြံအများအပြားသည် ငှက်ဘေးမဲ့တောများဖြစ်သည်။ ဤဒုတိယဝါကျကို ပထမဝါကျတွင် ထည့်သွင်းထားပါသလား။"
"အဏုမြူလက်နက် မတည်ဆောက်နိုင်စေရန် နိုင်ငံတကာ ထိန်းချုပ်မှုများကို သဘောတူပါက အရပ်ဘက်နျူကလီးယား စွမ်းအင် အစီအစဉ်ကို အီရန်က ကူညီပေးရန် ဆန္ဒရှိကြောင်း ဥရောပသမဂ္ဂ နိုင်ငံခြားရေး ၀န်ကြီးများက တနင်္လာနေ့တွင် မျှော်လင့်ထားကြောင်း သိရသည်။
အထက်ပါစာပိုဒ်တို၏ အကျဉ်းချုပ်ကို သင်ဖန်တီးနိုင်ပါသလား။",Apakah nama rasmi pertubuhan yang diasaskan oleh Aung San Suu Kyi yang disebut dalam teks tersebut?,Apakah nama rasmi pertubuhan yang diasaskan oleh Aung San Suu Kyi yang disebut dalam teks tersebut?,ကျွန်ုပ်တို့သည် အရပ်ဘက်နျူကလီးယား စွမ်းအင် အစီအစဉ်ကို အီရန်က ကူညီပေးရန် ဆန္ဒရှိကြောင်း ဥရောပသမဂ္ဂ နိုင်ငံခြားရေး ၀န်ကြီးများက တနင်္လာနေ့တွင် မျှော်လင့်ထားကြောင်း သိရသည်။ ထို့ကြောင့် သင်ဖန်တီးနိုင်ပါသည်။
အောက်ဖော်ပြပါ အရည်အချင်းများပါရှိသော စားသောက်ဆိုင်တစ်ခုအကြောင်း စာကြောင်းတစ်ကြောင်းရေးပါ- အမည် = Strada၊ အစားအစာ = အမြန်အစားအစာ၊ စျေးနှုန်းအမျိုးအစား = စျေးပေါ၊ familyFriendly = yes၊ near = Rainbow Vegetarian Caf\u00e9,", Nasi Lemak Tanglin, Hainanese Cafe, Ah Hui, Pusa Nasi Padang, Tanuki Raw, Kedai Kopi S&S Food, Gokyo Ramen, Killiney Kopitiam and more. "" ဟဲအပ်း,"" ကေကရ္ဇ ျှနေတဈ်းရ",", Nasi Lemak Tanglin, Hainanese Cafe, Ah Hui, Pusa Nasi Padang, Tanuki Raw, Kedai Kopi S&S Food, Gokyo Ramen, Killiney Kopitiam and more. "" hai'p,"" kekrj yhnetjhr",အရည်အချင်းများပါရှိသော Strada စားသောက်ဆိုင်တစ်ခုအကြောင်းကို စာကြောင်းတစ်ကြောင်းရေးပြပါသည်။ အမည်ကို Strada လို့ထည့်ပါ။ အစားအစာကို အမြန်အစားအစာ လို့ထည့်ပါ။ စျေးနှုန်းအမျိုးအစားကို စျေးပေါ လို့ထည့်ပါ။ familyFriendly ကို yes လို့ထည့်ပါ။ near ကို Rainbow Vegetarian Café လို့ထည့်ပါ။
"လုပ်ငန်းစဉ်- - ပန်းကန်ဆေးစက်တွင် မထည့်မီ ပန်းကန်များကို ဆေးကြောပါ - အပေါ်ထပ်တွင် မျက်မှန်နှင့် ပလတ်စတစ်အဝတ်အစားများကို ထုပ်ပိုးပါ - ပန်းကန်များ၊ ပန်းကန်များ၊ အိုးများနှင့် အိုးများကို အောက်ခြေတွင် ပန်းကန်ပြားများထည့်ပါ - အိုးခွက်ပန်းကန်များတွင် ပန်းကန်လုံးများထည့်ပါ - ဆပ်ပြာရည်ထည့်ပါ။ ဆပ်ပြာကိုင်ဆောင်သူ - တံခါးကိုပိတ်ပြီး စတင်ခလုတ်ကို တွန်းပါ - မေးခွန်း - ပန်းကန်များ ပျော့ပျောင်းစွာသာ ညစ်ပတ်သည်ဆိုပါစို့၊ ပန်းကန်ဆေးစက်က ဘယ်လိုမှ မသန့်ရှင်းတော့ရင် ဘယ်လို အကျိုးသက်ရောက်မလဲ။ - A: more - B: less - C: သက်ရောက်မှုမရှိပါ။
ဤမေးခွန်းအတွက် အဖြေမှာ-",ရဋ့ော၇တိုက်လောင်လာရჱာ ပလက်အာ-ဓ၁စို့.,rtea7tiukleanlarea plk'a-dh1ciu.,ပန်းကန်များကို ဆေးကြောပါသည်။ အပေါ်ထပ်တွင် မျက်မှန်နှင့် ပလတ်စတစ်အဝတ်အစားများကို ထုပ်ပိုးပါသည်။ ပန်းကန်များ၊ ပန်းကန်များ၊ အိုးများနှင့် အိုးများကို အောက်ခြေတွင် ပန်းကန်ပြားများထည့်ပါသည်။ အိုးခွက်ပန်းကန်များတွင် ပန်းကန်လုံးများထည့်ပါသည်။ ဆပ်ပြာရည်ထည့်ပါ။ ဆပ်ပြာကိုင်ဆောင်သူတံခါးကိုပိတ်ပြီး စတင်ခလုတ်ကို တွန်းပါ။ မေးခွန်းပန်းကန်များ ပျော့ပျောင်းစွာသာ ညစ်ပတ်သည်ဆိုပါစို့၊ ပန်းကန်ဆေးစက်က ဘယ်လိုမှ မသန့်ရှင်းတော့ရင် ဘယ်လို အကျိုးသက်ရောက်မလဲ။ - A: more - B: less - C: သက်ရောက်မှုမရှိပါ။
"Q: မီးခိုးမြူဒဏ်ခံရသောမြို့များမှ ထုတ်ပြန်သော လေထုညစ်ညမ်းမှုသတိပေးချက်များကို မည်သည့်အချိန်ကမှ ဖယ်ရှားနိုင်ဖွယ်ရှိကြောင်း သိရှိရပါသည်။ "" ဒီဇင်ဘာလ (၂) ရက်နေ့တွင် တရုတ်နိုင်ငံအလယ်ပိုင်းနှင့် အရှေ့ပိုင်းတို့တွင် မီးခိုးမြူလှိုင်းများထူထပ်စွာ စတင်ခဲ့သည်၊ 2013 တွင် Tianjin၊ Hebei၊ Shandong၊ Jiangsu၊ Anhui၊ Shanghai နှင့် Zhejiang အပါအဝင် ကီလိုမီတာ 1,200 (750 mi) အကွာအဝေးကိုဖြတ်ကျော်ခဲ့သည်။ လေအေးများ စီးဆင်းမှုမရှိခြင်းကြောင့် စက်မှုထုတ်လွှတ်မှုများအား သယ်ဆောင်သည့် နှေးကွေးစွာရွေ့လျားနေသော လေထုများနှင့် ပေါင်းစပ်ကာ ဒေသအနှံ့ မီးခိုးမြူထူထပ်စေရန် လေထုညစ်ညမ်းမှုများကို စုဆောင်းခဲ့သည်။ မီးခိုးမြူများ ထူထပ်စွာ တိုက်ခတ်မှုကြောင့် အလယ်ပိုင်းနှင့် တောင်ပိုင်း Jiangsu ပြည်နယ်၊ အထူးသဖြင့် Nanjing နှင့် အနီးတစ်ဝိုက်တွင် ၎င်း၏ AQI လေထုညစ်ညမ်းမှု အညွှန်းကိန်းသည် ငါးရက်ဆက်တိုက် ပြင်းထန်စွာ ညစ်ညမ်းနေပြီး ကိုးရက်ကြာ ညစ်ညမ်းမှု ပြင်းထန်ခဲ့သည်။ 2013 ခုနှစ် ဒီဇင်ဘာလ 3 ရက်နေ့တွင် PM2.5 အမှုန်အမွှားအဆင့်သည် ပျမ်းမျှကုဗမီတာလျှင် 943 micrograms ကျော်ရှိပြီး 2013 ခုနှစ် ဒီဇင်ဘာလ 4 ရက်နေ့တွင် တစ်ကုဗမီတာလျှင် 338 micrograms ကျော်အထိ ကျဆင်းသွားခဲ့ပါသည်။ ညနေ 3:00 ၊ 3 ဒီဇင်ဘာ နှင့် 2:00 နာရီကြား ဒေသစံတော်ချိန် ဒီဇင်ဘာလ 4 ရက်နေ့၊ Nanjing မှ အခြားသော Jiangsu မြို့များသို့ အမြန်လမ်းများစွာကို ပိတ်ထားရပြီး Zhongyangmen ဘတ်စ်ကားဂိတ်တွင် ခရီးသည်တင်ဘတ်စ်ကား ဒါဇင်ပေါင်းများစွာ သောင်တင်နေခဲ့သည်။ ဒီဇင်ဘာ ၅ ရက်မှ ၆ ရက်အတွင်း နန်ကျင်းသည် လေထုညစ်ညမ်းမှုအတွက် အနီရောင်သတိပေးချက်ထုတ်ပြန်ခဲ့ပြီး အလယ်တန်းကျောင်းများအထိ သူငယ်တန်းအားလုံးကို ပိတ်ထားခဲ့သည်။ ကလေးဆေးရုံ ပြင်ပလူနာဝန်ဆောင်မှု ၃၃ ရာခိုင်နှုန်း တိုးမြင့်လာသည်။ ယေဘုယျအားဖြင့် လည်ချောင်းနာခြင်း၊ အဆုတ်ရောင်ခြင်း၊ အသက်ရှူလမ်းကြောင်းအပေါ်ပိုင်း ပိုးဝင်ခြင်း သိသိသာသာ တိုးလာပါသည်။ ဒီဇင်ဘာ ၁၂ ရက်တွင် မီးခိုးမြူများ ကွယ်ပျောက်သွားသည်။ လေဖိအားနည်းရပ်ဝန်းအောက်တွင် မော်တော်ကားအိတ်ဇောထုတ်လွှတ်မှု နည်းပါးခြင်းနှင့် တရုတ်နိုင်ငံ မြောက်ပိုင်းဒေသရှိ ကျောက်မီးသွေးစွမ်းအင်သုံး ခရိုင်အပူပေးစနစ်တို့ကြောင့် တာဝန်ရှိသူများက လေထုညစ်ညမ်းမှု ထူပြောလာမှုအပေါ် အပြစ်တင်ခဲ့သည်။ လေပြင်းများတိုက်ခတ်မှုကြောင့် စက်ရုံထုတ်လွှတ်မှု (အများအားဖြင့် SO2) သည် တရုတ်နိုင်ငံ အရှေ့ဘက်ကမ်းရိုးတန်းသို့ နိမ့်ကျနေသော လေထုကို မှုတ်ထုတ်လိုက်ပါသည်။""။ အဲဒါက ဘာလဲဆိုတာ ပြောပြနိုင်မလား။
A:""","Oh, tak apa.""","Oh, tak apa.""",the question is too long
