Input,Pred,Pred_Latin,Gold
"Read the following article and select the best answer. Article: How far would you be willing to go to satisfy your need to know?Far enough to find out your possibility of dying from a terrible disease?These days that's more than an academic question,as Tracy Smith reports in our Cover Story. There are now more than a thousand genetic  tests,for everything from baldness to breast cancer,and the list is growing.Question is,do you really want to know what might eventually kill you?For instance,Nobel Prizewinning scientist James Watson,one of the first people to map their entire genetic makeup,is said to have asked not to be told if he were at a higher risk for Alzheimer's . \If I tell you that you have an increased risk of getting a terrible disease,that could weigh on your mind and make you anxious,through which you see the rest of your life as you wait for that disease to hit you.It could really mess you up."" said Dr.Robert Green,a Harvard geneticist. ""Every ache and pain,"" Smith suggested,could be understood as ""the beginning of the end.""""That's right.If you ever worried you were at risk for Alzheimer's disease,then every time you can't find your car in the parking lot,you think the disease has started."" Dr.Green has been thinking about this issue for years.He led a study of people who wanted to know if they were at a higher genetic risk for Alzheimer's.It was thought that people who got bad news would,for lack of a better medical term, _ .But Green and his team found that there was ""no significant difference"" between how people handled good news and possibly the worst news of their lives.In fact,most people think they can handle it.People who ask for the information usually can handle the information,good or bad,said Green. Question: Which of the following is TRUE of James Watson? - He is strongly in favor of the present genetic tests. - He is more likely to suffer from Alzheimer's disease. - He believes genetic mapping can help cure any disease. - He doesn't want to know his chance of getting a disease.
""",He doesn't want to know his chance of getting a disease.,He doesn't want to know his chance of getting a disease.,
"Pick the option in line with common sense to answer the question. Question: The steak house was unfamiliar to western palettes, from where did the cooking style originate? Options:  A. mexico  B. ocean  C. japan  D. texas  E. new york
The answer to this question is:",A,A,
"TEXT: `` he 's challenged me to a duel in the hope of defending it . '' william cast a glance over her shoulder at michael . `` it must have been quite an offense indeed if you felt compelled to challenge her . '' `` i did n't make the decision lightly , '' michael ground out . his eyes were unflinching as he stared back at",william,william,
"Context: Quinn gave Jan some money for safekeeping. Jan put Quinn's money in the safe.  Question: How would Jan feel afterwards?  Which one of these answers best answers the question according to the context?  A: helpful  B: remorse  C: shame
",A,A,
"Given the following passage ""The first non-Native American inhabitant of what would eventually become New York City was Dominican trader Juan Rodriguez (transliterated to Dutch as Jan Rodrigues). Born in Santo Domingo of Portuguese and African descent, he arrived in Manhattan during the winter of 1613\u20131614, trapping for pelts and trading with the local population as a representative of the Dutch. Broadway, from 159th Street to 218th Street, is named Juan Rodriguez Way in his honor."",  answer the following question. Note that the answer is present within the text.  Question: How did the people Juan represented refer to him by name?
A:""",the Dutch,the Dutch,
Write a sentence not in English.,The little boy can play with a ball.,The little boy can play with a ball.,
"He is a member of the Royal Shakespeare Company and later joined the Renaissance Theatre Company. He has appeared in many of Kenneth Branagh's films, most recently as Corin in the 2006 film \As You Like It"". Yuill was also the music composer for ""A Midwinter's Tale"" and ""Swan Song"".

Can we draw the following conclusion?
He was in as you like it over 5 years ago

Available choices:
i. Yes.
ii. It's impossible to say.
iii. No.""",Yes,Yes,
"Available choices: [-] negative; [-] positive;Would the following phrase be considered positive or negative?

help sustain it 
",positive,positive,
"Q:""USS Tonkawa (YTB-786)"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?
A:""",Mean Of Transportation,Mean Of Transportation,
"Attributes: name = The Golden Palace, eatType = coffee shop, customer rating = 3 out of 5, area = riverside. Produce a detailed sentence about this restaurant.","A coffee shop is in the middle of the River, just over the edge of the coast. This is a little further west from Vancouver, and looking for a more sophisticated and interesting menu. The Golden Palace has been named by the locals as the 'golden palace' by them because they look like them have a boutique look of it. They operate out of a larger group of companies that have","A coffee shop is in the middle of the River, just over the edge of the coast. This is a little further west from Vancouver, and looking for a more sophisticated and interesting menu. The Golden Palace has been named by the locals as the 'golden palace' by them because they look like them have a boutique look of it. They operate out of a larger group of companies that have",
